Generation;Best Score
0 ; 4,616109
1 ; 3,85036
2 ; 3,85036
3 ; 3,85036
4 ; 3,85036
5 ; 3,85036
6 ; 3,091511
7 ; 3,091511
8 ; 3,091511
9 ; 3,091511
10 ; 3,091511
11 ; 3,091511
12 ; 3,091511
13 ; 3,091511
14 ; 3,091511
15 ; 3,091511
16 ; 3,091511
17 ; 3,091511
18 ; 3,091511
19 ; 3,091511
20 ; 3,091511
21 ; 3,091511
22 ; 3,091511
23 ; 3,091511
24 ; 3,091511
25 ; 3,091511
26 ; 3,091511
27 ; 3,091511
28 ; 3,091511
29 ; 3,091511
30 ; 3,091511
31 ; 3,091511
32 ; 3,091511
33 ; 3,091511
34 ; 3,091511
35 ; 3,091511
36 ; 3,091511
37 ; 3,091511
38 ; 3,091511
39 ; 3,091511
